Price;Bedrooms;Floorplans;Address
$825;;;1652 W 80th St, Chicago IL
$875;2 Beds;1 floorplan;77th Street & Marshfield, Chicago IL
$1,600;;;8518 S Givins Ct, Chicago IL
$1,000;;;1104 W 78th St #2W, Chicago IL
$795;;;7923 South Wood Street #A201, Chicago IL
$1,050;;;7930 S Paulina St, Chicago IL
$1,250;;;8743 S Parnell Ave, Chicago IL
$1,250;;;7354 S Emerald Ave #2, Chicago IL
$1,400;;;7939 S La Salle St, Chicago IL
$1,250;;;7038 S Yale Ave #1, Chicago IL
$1,250;;;7038 S Yale Ave #3, Chicago IL
$725;;;1550 W 95th St, Chicago IL
$890;;;8916 S Justine St, Chicago IL
$1,050;;;1745 W 91st St, Chicago IL
$1,140;;;8214 S Wabash Ave, Chicago IL
$1,000;;;9303 S Normal Ave, Chicago IL
$1,700;;;9129 S Marshfield Ave, Chicago IL
$1,650;;;9135 S Wabash Ave, Chicago IL
$1,350;;;7555 S Wabash Ave, Chicago IL
$1,200;;;7441 S Harvard Ave, Chicago IL
$795;;;9453 S Loomis St #2, Chicago IL
$995;2 Beds;1 floorplan;9157 S Bishop St, Chicago IL
$1,050;;;235 W 80th St #1, Chicago IL
$1,100;;;235 W 80th St #2, Chicago IL
$1,000;;;1238 W 90th St, Chicago IL
$1,250;4 Beds;1 floorplan;518 W. 81st St., Chicago IL
$1,250;4 Beds;1 floorplan;7836 S. Peoria St., Chicago IL
$1,100;;;9424 S Laflin St, Chicago IL
$1,150;;;7138 S Normal Ave #2, Chicago IL
$1,600;;;57 W 73rd St #1, Chicago IL
$1,150;;;7821 S Lowe Ave #2, Chicago IL
$735;;;7208 S Michigan Ave, Chicago IL
$1,150;3 Beds;2 floorplans;7217 S. Perry Ave., Chicago IL
$1,000;;;7307 South Sangamon Street #2, Chicago IL
$1,300;;;7826 S Morgan St #2, Chicago IL
$890;;;8916 S Justine St, Chicago IL
$1,150+;3 - 4 Beds;2 floorplans;7807 S. Sangamon St., Chicago IL
$1,150;3 Beds;2 floorplans;7457 S. Eggleston Ave., Chicago IL
$1,500;;;6943 S Stewart Ave, Chicago IL
$875;;;1306 W 92nd St #2, Chicago IL
$975;;;8201 S Bishop St, Chicago IL
$700+;1 - 2 Beds;2 floorplans;1434-1444 W. 83rd St. G-3, Chicago IL
$800+;2 Beds;3 floorplans;1334-1344 W. 83rd St. G-3, Chicago IL
$800;;;8056 S Hermitage Ave #3, Chicago IL
$700;;;8447 S Elizabeth St #2A, Chicago IL
$1,253;2 Beds;1 floorplan;7431 S Eggleston, Chicago IL
$1,150;;;8035 S Stewart Ave #A, Chicago IL
$980;;;7800 S Laflin St, Chicago IL
$1,170;;;7724 S Marshfield Ave #2, Chicago IL
$1,050+;2 - 3 Beds;2 floorplans;7800 S. Marshfield, Chicago IL
$1,000;;;8318 S Throop St #3, Chicago IL
$550;;;1376 W 79th St, Chicago IL
$850;;;510 W 75th St, Chicago IL
$1,400;;;7852 S Eggleston Ave #2, Chicago IL
$900;;;107 W 73rd St, Chicago IL
$1,300;;;8204 S Laflin St #2, Chicago IL
$1,800;;;1008 N Menard Ave, Chicago IL
$775+;1 - 2 Beds;2 floorplans;500 S Laramie, Chicago IL
$945+;2 Beds;1 floorplan;1145-49 N LeClaire Ave, Chicago IL
$890+;2 - 3 Beds;2 floorplans;5100 W Madison, Chicago IL
$1,090;3 Beds;1 floorplan;5036 W Quincy St, Chicago IL
$1,070;3 Beds;1 floorplan;5556 W Jackson, Chicago IL
$1,510;4 Beds;1 floorplan;654 N Pine Ave, Chicago IL
$705+;Studio - 1 Bed;2 floorplans;5948 W Superior, Chicago IL
$995+;2 - 4 Beds;2 floorplans;5749 W Chicago, Chicago IL
$1,165;3 Beds;1 floorplan;4815 W Monroe St, Chicago IL
$1,080+;3 Beds;1 floorplan;4814 W Monroe, Chicago IL
$1,125;3 Beds;1 floorplan;5236 W Harrison, Chicago IL
$1,015+;2 Beds;1 floorplan;5870 W Lake St, Chicago IL
$1,015;2 Beds;1 floorplan;1117 N Lawler Ave, Chicago IL
$850;1 Bed;1 floorplan;5001 W Adams St, Chicago IL
$950;2 Beds;1 floorplan;418 S Laramie, Chicago IL
$845+;2 Beds;1 floorplan;5201 W Washington Blvd, Chicago IL
$860+;1 Bed;1 floorplan;5011 W Maypole Ave, Chicago IL
$765+;1 Bed;1 floorplan;5101 W Monroe St, Chicago IL
$925+;2 Beds;1 floorplan;109 N Laramie Ave, Chicago IL
$690+;Studio - 1 Bed;2 floorplans;5957 W Madison St, Chicago IL
$1,115;3 Beds;1 floorplan;148 N La Crosse Ave, Chicago IL
$1,515;3 Beds;1 floorplan;735-49 N Austin, Chicago IL
$1,000+;2 Beds;1 floorplan;4815-23 W Cortez St, Chicago IL
$750+;1 Bed;1 floorplan;330 N Pine, Chicago IL
$985;2 Beds;1 floorplan;5732-34 W Washington, Chicago IL
$880+;1 Bed;1 floorplan;1145 N Austin Blvd, Chicago IL
$855;1 Bed;1 floorplan;729 N Central, Chicago IL
$890;1 Bed;1 floorplan;310 N Menard, Chicago IL
$1,340;2 Beds;1 floorplan;5706 W Lake St, Chicago IL
$1,200;;;1120 N Pine Ave #A, Chicago IL
$1,300;;;4954 W Rice St #2, Chicago IL
$1,275;;;1041 N Lawler Ave #1, Chicago IL
$1,250;;;1041 N Lawler Ave #3, Chicago IL
$1,100;;;1609 N Central Ave #3S, Chicago IL
$1,400;;;4826 W Gladys Ave #1, Chicago IL
$1,400;;;4826 W Gladys Ave #2, Chicago IL
$1,150;;;52 N Waller Ave #152, Chicago IL
$1,550;;;4906 W Iowa St #1st, Chicago IL
